100 8149
52 65 14428
64 85 29876
88 80 25700
73 39 2535
82 55 7162
53 22 26471
33 49 17977
19 90 3663
32 80 8294
68 39 25781
50 5 829
93 45 14000
82 56 18900
27 95 6417
70 94 1636
98 0 8336
86 5 2968
21 64 23378
30 10 20779
24 39 29720
13 48 28934
97 34 11643
83 4 30228
56 93 18684
61 34 2187
80 66 16591
7 22 15199
73 51 19629
92 88 27916
23 54 18708
91 50 25097
4 65 5565
96 84 2430
14 40 11047
9 27 19722
64 59 20625
96 9 29382
49 12 21184
52 94 1225
53 92 12621
86 65 29650
28 14 15238
69 40 21219
63 70 22268
93 97 10231
19 80 31061
47 65 29213
24 32 3071
50 21 16269
7 85 19406
22 14 3749
38 76 4024
9 69 19145
39 14 2336
51 8 4752
70 31 21878
78 91 9946
72 57 27669
23 65 31376
84 36 25762
77 6 26950
24 55 4447
65 79 12021
77 13 17962
66 43 25989
80 41 12323
62 38 7398
98 51 11053
61 3 10462
59 63 22982
52 21 3040
78 0 14568
24 92 2177
69 44 19703
73 65 27502
29 32 9696
3 43 7654
92 65 10236
88 90 5417
14 9 5201
23 66 19812
53 64 1601
16 10 16114
18 41 21973
30 49 13077
91 19 21789
61 46 6511
43 60 1112
74 39 4584
61 5 27622
4 94 22211
4 14 7226
65 23 8454
70 96 13112
11 9 5521
14 89 966
60 59 21354
80 92 26497
44 97 27698
18 63 11218
27 36 30139
91 51 17105
53 48 4148
48 23 13751
8 42 15980
63 50 6623
57 40 22038
56 88 19060
63 11 11287
61 80 14430
81 51 1346
31 50 3868
49 55 19989
27 13 2177
9 14 15435
53 5 25224
75 98 21345
14 40 20939
76 44 24935
49 19 20538
41 74 31662
83 16 6940
61 53 23342
25 82 25742
11 41 18118
40 32 31736
40 84 3476
18 65 20008
32 80 32292
28 5 26905
86 85 22308
30 58 30873
78 93 29909
94 49 18488
24 43 2687
96 68 3155
96 23 6539
39 93 22295
45 29 8211
32 10 32718
33 65 14082
10 46 12754
93 86 7199
81 44 9723
24 2 32407
80 12 1127
65 47 25830
63 57 26088
53 34 14630
39 59 13186
73 13 1330
49 85 1972
99 83 14883
22 71 2189
35 95 5899
34 19 17078
11 49 28923
22 47 11511
77 33 21176
34 78 30952
24 50 13484
20 36 195
17 57 32246
96 48 19353
8 99 9635
83 79 6228
17 92 14199
2 44 30034
30 71 16853
44 39 28023
31 65 23197
9 17 5384
12 81 1824
27 76 4017
41 82 30584
18 74 22147
40 77 16355
20 53 24522
11 96 6908
24 0 9230
10 90 21979
2 11 8858
43 85 25478
38 61 19807
20 51 18240
23 91 30482
2 67 7569
80 86 20424
69 42 6688
4 13 31629
34 2 25780
86 96 11167
6 5 27130
71 9 11863
68 69 1247
45 30 29418
54 24 27550
10 59 21885
31 73 6102
54 23 32078
52 86 835
10 98 31191
36 19 6893
34 46 27961
42 11 18665
73 36 16724
24 84 30980
34 61 29262
77 49 5872
71 32 13444
44 18 17605
47 19 29968
35 10 32505
39 60 15210
95 44 7965
34 24 6098
